"filename", "language", "JSON", "CSS", "Markdown", "JavaScript", "HTML", "XML", "YAML", "comment", "blank", "total"
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\.github\workflows\main.yml", "YAML", 0, 0, 0, 0, 0, 0, 27, 0, 9, 36
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\.idea\Plataforma-Escuela.iml", "XML", 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\README.md", "Markdown", 0, 0, 38, 0, 0, 0, 0, 0, 33, 71
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\package-lock.json", "JSON", 30235, 0, 0, 0, 0, 0, 0, 0, 1, 30236
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\package.json", "JSON", 43, 0, 0, 0, 0, 0, 0, 0, 1, 44
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\public\index.html", "HTML", 0, 0, 0, 0, 25, 0, 0, 0, 6, 31
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\App.css", "CSS", 0, 88, 0, 0, 0, 0, 0, 0, 14, 102
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\App.js", "JavaScript", 0, 0, 0, 66, 0, 0, 0, 3, 8, 77
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\App.test.js", "JavaScript", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\BlueBar.css", "CSS", 0, 16, 0, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\BlueBar.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 3, 15
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Create.js", "JavaScript", 0, 0, 0, 76, 0, 0, 0, 0, 13, 89
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Edit.js", "JavaScript", 0, 0, 0, 82, 0, 0, 0, 2, 13, 97
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\EditAlumno.js", "JavaScript", 0, 0, 0, 72, 0, 0, 0, 1, 11, 84
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Ingresar.js", "JavaScript", 0, 0, 0, 24, 0, 0, 0, 0, 9, 33
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Login.js", "JavaScript", 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\NavBar.css", "CSS", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\NavBar.js", "JavaScript", 0, 0, 0, 36, 0, 0, 0, 0, 7, 43
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\NuevoCurso.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 3, 10, 81
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Show.css", "CSS", 0, 38, 0, 0, 0, 0, 0, 3, 10, 51
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\Show.js", "JavaScript", 0, 0, 0, 93, 0, 0, 0, 0, 13, 106
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\components\ShowAlumno.js", "JavaScript", 0, 0, 0, 87, 0, 0, 0, 1, 13, 101
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\firebaseConfig\firebase.js", "JavaScript", 0, 0, 0, 22, 0, 0, 0, 7, 5, 34
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\index.css", "CSS", 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\index.js", "JavaScript", 0, 0, 0, 15, 0, 0, 0, 3, 3, 21
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\CursoElegido.js", "JavaScript", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Cursos.css", "CSS", 0, 20, 0, 0, 0, 0, 0, 1, 3, 24
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Cursos.js", "JavaScript", 0, 0, 0, 67, 0, 0, 0, 1, 9, 77
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\DatosProfesores.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 0, 4, 25
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Documentos.js", "JavaScript", 0, 0, 0, 68, 0, 0, 0, 3, 9, 80
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Home.css", "CSS", 0, 14, 0, 0, 0, 0, 0, 0, 1, 15
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Home.js", "JavaScript", 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Maestros.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 0, 7
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Maestros.js", "JavaScript", 0, 0, 0, 34, 0, 0, 0, 1, 4, 39
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\ProgWeb.css", "CSS", 0, 51, 0, 0, 0, 0, 0, 5, 10, 66
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\ProgWeb.js", "JavaScript", 0, 0, 0, 10, 0, 0, 0, 0, 3, 13
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\ProgWebAlumno.css", "CSS", 0, 51, 0, 0, 0, 0, 0, 5, 10, 66
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\ProgWebAlumno.js", "JavaScript", 0, 0, 0, 11, 0, 0, 0, 0, 3, 14
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Tareas.css", "CSS", 0, 7, 0, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\pages\Tareas.js", "JavaScript", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\reportWebVitals.js", "JavaScript", 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\Alejandro\Downloads\Programillas\react-router-course-paginado-basico-1\src\setupTests.js", "JavaScript", 0, 0, 0, 1, 0, 0, 0, 4, 1, 6
"Total", "-", 30303, 327, 38, 987, 25, 27, 27, 43, 276, 32053